"main_category","currency","goal","pledged",,,
"Publishing","USD","1500","1692",,,
"Film & Video","USD","10000","0",,,
"Film & Video","USD","10000","11610",,,
"Games","USD","15000","147526",,,
"Film & Video","USD","20000","3355",,,
"Photography","USD","2000","2",,,
"Design","USD","7000","32766.9",,,
"Film & Video","USD","10000","3440",,,
"Games","USD","100000","108950.86",,,
"Film & Video","USD","1450","1507",,,
"Publishing","USD","3000","987",,,
"Technology","USD","20000","74026",,,
"Food","USD","30000","40062",,,
"Music","USD","500","0",,,
"Music","USD","500","665",,,
"Film & Video","USD","160000","10",,,
"Food","USD","25000","1708",,,
"Music","USD","2500","2500.5",,,
"Comics","USD","3000","169",,,
"Film & Video","USD","3000","55",,,
"Theater","USD","3000","4656",,,
"Photography","USD","2000","3053",,,
"Music","USD","1000","1045",,,
"Music","USD","500","1",,,
"Publishing","USD","2500","60",,,
"Food","USD","1000","1531",,,
"Games","USD","2500","125",,,
"Art","USD","999","1653",,,
"Music","USD","4000","4542.83",,,
"Publishing","USD","1000","0",,,
"Theater","USD","1200","110",,,
"Film & Video","USD","15000","17933",,,
"Music","USD","210","5",,,
"Fashion","USD","20000","22665",,,
"Film & Video","USD","4500","0",,,
"Music","USD","500","76",,,
"Film & Video","USD","500","2",,,
"Design","USD","31400","1004",,,
"Art","USD","2100","175",,,
"Fashion","USD","3000","0",,,
"Fashion","USD","500","1162",,,
"Music","USD","700","0",,,
"Publishing","USD","30000","6353",,,
"Design","USD","40000","2328.11",,,
"Fashion","USD","20000","26695",,,
"Music","USD","2000","772",,,
"Music","USD","3500","0",,,
"Design","USD","20000","30673",,,
"Film & Video","USD","25000","16680.01",,,
"Design","USD","500","1919",,,
"Music","USD","1","113",,,
"Music","USD","15000","845",,,
"Publishing","USD","4500","145",,,
"Fashion","USD","20000","540",,,
"Games","USD","450","115",,,
"Photography","USD","10000","0",,,
"Technology","USD","25000","118923.5",,,
"Film & Video","USD","1001","670",,,
"Film & Video","USD","1600","1760",,,
"Food","USD","20000","750",,,
"Film & Video","USD","50000","20677",,,
"Design","USD","10000","19711",,,
"Publishing","USD","4500","0",,,
"Publishing","USD","5000","51",,,
"Design","USD","25000","7068",,,
"Music","USD","6000","7591",,,
"Publishing","USD","900","140",,,
"Music","USD","4300","1046",,,
"Film & Video","USD","2000","0",,,
"Design","USD","100000","103307.65",,,
"Technology","USD","1000","35",,,
"Dance","USD","14000","14401",,,
"Film & Video","USD","100000","25877",,,
"Music","USD","1500","69",,,
"Dance","USD","2223","2845",,,
"Food","USD","28000","28036",,,
"Music","USD","7000","0",,,
"Music","USD","850","900",,,
"Theater","USD","3600","3661",,,
"Fashion","USD","35000","391",,,
"Journalism","USD","2000","2095",,,
"Film & Video","USD","70000","9908",,,
"Film & Video","USD","3000000","4",,,
"Music","USD","14000","14200",,,
"Publishing","USD","2000","2661.32",,,
"Publishing","USD","5500","0",,,
"Music","USD","5000","0",,,
"Art","USD","3000","3299",,,
"Design","USD","40000","20670",,,
"Film & Video","USD","5000","5350.51",,,
"Film & Video","USD","5800","5825",,,
"Fashion","USD","200","205",,,
"Fashion","USD","360","22",,,
"Games","USD","1000","3438.13",,,
"Music","USD","2100","3173",,,
"Technology","USD","60000","45687.01",,,
"Film & Video","USD","10000","10600",,,
"Music","USD","18000","0",,,
"Design","USD","1250","1504",,,
"Music","USD","7000","1550",,,
"Music","USD","2000","2040",,,
"Music","USD","5000","5170",,,
"Technology","USD","7000","0",,,
"Theater","USD","3000000","0",,,
"Music","USD","13000","10375",,,
"Dance","USD","25000","27431",,,
"Publishing","USD","1000","50",,,
"Film & Video","USD","3500","5",,,
"Theater","USD","2700","2752",,,
"Technology","USD","2800","545",,,
"Music","USD","5500","131",,,
"Publishing","USD","15000","65",,,
"Technology","USD","500","0",,,
"Theater","USD","1200","11",,,
"Food","USD","7000","0",,,
"Fashion","USD","21000","2425",,,
"Games","USD","10000","21",,,
"Publishing","USD","2000","2315",,,
"Music","USD","8000","51",,,
"Theater","USD","10000","621",,,
"Theater","USD","1000","1100",,,
"Art","USD","500","0",,,
"Fashion","USD","800","375",,,
"Publishing","USD","12000","0",,,
"Film & Video","USD","5000","0",,,
"Games","USD","7500","38317",,,
"Publishing","USD","800","2800",,,
"Dance","USD","50000","675",,,
"Film & Video","USD","60000","775",,,
"Film & Video","USD","5000","301",,,
"Food","USD","25000","100",,,
"Film & Video","USD","3200","3226",,,
"Art","USD","10000","0",,,
"Music","USD","5000","0",,,
"Publishing","USD","4000","4088",,,
"Food","USD","25000","476",,,
"Publishing","USD","10000","10277",,,
"Music","USD","3000","3155",,,
"Music","USD","1200","1525",,,
"Food","USD","10","11",,,
"Crafts","USD","200","1",,,
"Photography","USD","2000","50",,,
"Journalism","USD","15000","0",,,
"Film & Video","USD","5000","5178",,,
"Film & Video","USD","150000","5",,,
"Music","USD","3500","3500",,,
"Food","USD","15000","1190",,,
"Design","USD","19000","4809",,,
"Publishing","USD","4000","225",,,
"Art","USD","3000","3100",,,
"Publishing","USD","5500","35",,,
"Music","USD","1250","10",,,
"Food","USD","1000","0",,,
"Journalism","USD","8000","0",,,
"Film & Video","USD","4000","30",,,
"Film & Video","USD","2000","125",,,
"Film & Video","USD","5000","1367",,,
"Technology","USD","25000","58978",,,
"Photography","USD","5000","5637",,,
"Film & Video","USD","6500","27",,,
"Music","USD","40000","0",,,
"Technology","USD","50000","261",,,
"Crafts","USD","900","25",,,
"Design","USD","100000","14757",,,
"Music","USD","1100","25",,,
"Design","USD","50000","0",,,
"Games","USD","10000","2022",,,
"Film & Video","USD","10000","13135",,,
"Music","USD","5500","300",,,
"Food","USD","5000","460",,,
"Crafts","USD","5","29",,,
"Publishing","USD","6500","139",,,
"Design","USD","840","141",,,
"Technology","USD","125000","16",,,
"Comics","USD","30000","1131",,,
"Games","USD","5000","66988",,,
"Photography","USD","24850","1211",,,
"Art","USD","9000","9194",,,
"Food","USD","2350","570",,,
"Music","USD","3000","0",,,
"Music","USD","1200","1307",,,
"Art","USD","75","75",,,
"Film & Video","USD","55000","0",,,
"Film & Video","USD","5000","5358",,,
"Publishing","USD","4250","1",,,
"Technology","USD","50000","48907",,,
"Games","USD","15000","56",,,
"Design","USD","30000","81981",,,
"Music","USD","5400","645",,,
"Music","USD","2000","360",,,
"Technology","USD","7000","2002",,,
"Games","USD","1000","1155.23",,,
"Games","USD","35000","3805",,,
"Food","USD","60000","30",,,
"Film & Video","USD","3000","895",,,
"Comics","USD","400","673",,,
"Crafts","USD","2000","102",,,
"Film & Video","USD","15000","265",,,
"Film & Video","USD","7500","11026",,,
"Publishing","USD","2500","170",,,
"Technology","USD","55000","0",,,
"Design","USD","1000","7582",,,
"Photography","USD","1500","0",,,
"Music","USD","600","673.21",,,
"Publishing","USD","4500","35",,,
"Technology","USD","25000","2666",,,
"Film & Video","USD","1200","315",,,
"Music","USD","15000","15102",,,
"Music","USD","15000","47",,,
"Art","USD","10000","910",,,
"Film & Video","USD","1000","367",,,
"Music","USD","3500","0",,,
"Music","USD","1500","402",,,
"Art","USD","2000","322",,,
"Crafts","USD","500","215",,,
"Publishing","USD","600","280",,,
"Fashion","USD","20000","220",,,
"Film & Video","USD","1500","30",,,
"Publishing","USD","2750","433",,,
"Games","USD","5000","0",,,
"Music","USD","2000","2560",,,
"Music","USD","1000","1381",,,
"Games","USD","8000","1393",,,
"Design","USD","36000","6074",,,
"Fashion","USD","30000","1321",,,
"Film & Video","USD","5950","6035",,,
"Design","USD","25000","1345",,,
"Games","USD","2500","0",,,
"Music","USD","5000","160",,,
"Music","USD","2500","2570",,,
"Music","USD","1000","25",,,
"Fashion","USD","1500","88",,,
"Art","USD","3000","3285",,,
"Theater","USD","2500","2710",,,
"Food","USD","8000","8405",,,
"Fashion","USD","6000","0",,,
"Film & Video","USD","685500","865",,,
"Photography","USD","1250","12.5",,,
"Film & Video","USD","1500","340",,,
"Film & Video","USD","25000","30255",,,
"Film & Video","USD","25000","0",,,
"Music","USD","6100","0",,,
"Film & Video","USD","1000","1227.01",,,
"Dance","USD","3100","3194",,,
"Film & Video","USD","15000","15827",,,
"Film & Video","USD","40000","455",,,
"Publishing","USD","1000","10",,,
"Music","USD","4000","180",,,
"Technology","USD","50000","7697",,,
"Film & Video","USD","1000","100",,,
"Fashion","USD","30000","0",,,
"Music","USD","2750","3682.93",,,
"Film & Video","USD","400000","1710",,,
"Art","USD","1800","596",,,
"Art","USD","600","910",,,
"Dance","USD","6000","8185",,,
"Technology","USD","20000","15",,,
"Publishing","USD","5000","120",,,
"Art","USD","100000","0",,,
"Design","USD","450","941",,,
"Publishing","USD","3000","0",,,
"Film & Video","USD","2000000","831",,,
"Games","USD","5000","25",,,
"Art","USD","500","507",,,
"Fashion","USD","2000","46",,,
"Music","USD","25000","181",,,
"Music","USD","15000","17135",,,
"Games","USD","30000","1",,,
"Film & Video","USD","5500","5650",,,
"Film & Video","USD","3500","3553",,,
"Publishing","USD","7500","132",,,
"Games","USD","10000","130",,,
"Film & Video","USD","11000","11178",,,
"Food","USD","5000","1440.55",,,
"Publishing","USD","10000","15",,,
"Technology","USD","36779","6144",,,
"Games","USD","1500","39557.16",,,
"Film & Video","USD","140000","0",,,
"Film & Video","USD","1000","1631",,,
"Publishing","USD","8500","1211",,,
"Film & Video","USD","20000","25000",,,
"Film & Video","USD","22000","824",,,
"Games","USD","10000","13574",,,
"Fashion","USD","1000","55",,,
"Dance","USD","300","457",,,
"Comics","USD","2500","451",,,
"Theater","USD","3000","0",,,
"Technology","USD","150000","7333",,,
"Games","USD","10000","23",,,
"Publishing","USD","7770","78.77",,,
"Food","USD","10000","0",,,
"Art","USD","100","677",,,
"Crafts","USD","9500","2722",,,
"Music","USD","6000","1",,,
"Film & Video","USD","10000","2",,,
"Comics","USD","4500","4661",,,
"Publishing","USD","1593","0",,,
"Games","USD","25000","4666",,,
"Crafts","USD","2500","2607",,,
"Film & Video","USD","3000","3081",,,
"Film & Video","USD","15000","25",,,
"Music","USD","3000","430",,,
"Film & Video","USD","7000","24056",,,
"Art","USD","1200","30",,,
"Food","USD","14500","15130",,,
"Art","USD","700","460",,,
"Theater","USD","20000","650",,,
"Publishing","USD","5000","150",,,
"Publishing","USD","300","33",,,
"Fashion","USD","20000","0",,,
"Photography","USD","250","0",,,
"Art","USD","8000","300",,,
"Music","USD","100","101",,,
"Music","USD","12000","24255",,,
"Art","USD","20000","6",,,
"Film & Video","USD","30000","4666",,,
"Crafts","USD","275","394",,,
"Publishing","USD","25100","7662.5",,,
"Music","USD","1250","855",,,
"Games","USD","1750","1973",,,
"Technology","USD","3000","4205",,,
"Comics","USD","30000","75350.55",,,
"Fashion","USD","5500","9613",,,
"Music","USD","10000","10446",,,
"Film & Video","USD","3000","25",,,
"Photography","USD","10000","0",,,
"Crafts","USD","250","303",,,
"Design","USD","25000","495",,,
"Music","USD","500","190",,,
"Publishing","USD","18250","667",,,
"Film & Video","USD","40000","15",,,
"Art","USD","500","525.5",,,
"Music","USD","3000","535",,,
"Art","USD","4500","107",,,
"Games","USD","3675","3800",,,
"Film & Video","USD","5000","5130",,,
"Music","USD","600","920",,,
"Film & Video","USD","6000","5200",,,
"Fashion","USD","35000","38016.12",,,
"Film & Video","USD","4000","1145",,,
"Music","USD","12000","7",,,
"Photography","USD","4000","5164.09",,,
"Technology","USD","15000","436",,,
"Film & Video","USD","6000","636",,,
"Publishing","USD","2500","2637",,,
"Art","USD","30000","1",,,
"Design","USD","300000","625",,,
"Publishing","USD","5000","2345",,,
"Comics","USD","4000","4210",,,
"Film & Video","USD","10000","61",,,
"Film & Video","USD","4200","202",,,
"Publishing","USD","3412","3740.87",,,
"Food","USD","15000","725",,,
"Dance","USD","10000","10086",,,
"Design","USD","10000","3246",,,
"Film & Video","USD","5500","955",,,
"Fashion","USD","10000","31",,,
"Technology","USD","100000","12133",,,
"Art","USD","500","140",,,
"Games","USD","10000","1850",,,
"Music","USD","5000","450",,,
"Technology","USD","25000","0",,,
"Design","USD","8000","35",,,
"Technology","USD","5000","5843",,,
"Design","USD","12500","29",,,
"Music","USD","1000","260",,,
"Games","USD","6000","6001",,,
"Photography","USD","1000","491",,,
"Music","USD","1500","2025",,,
"Food","USD","4500","600",,,
"Photography","USD","21150","38206",,,
"Design","USD","120000","48785",,,
"Art","USD","3350","2595",,,
"Music","USD","5000","7233.11",,,
"Food","USD","6500","47",,,
"Food","USD","20000","2",,,
"Publishing","USD","15000","21807",,,
"Theater","USD","3000","4085",,,
"Art","USD","900","40",,,
"Publishing","USD","1267","15",,,
"Games","USD","440","440",,,
"Design","USD","60000","1383",,,
"Film & Video","USD","5000","6652",,,
"Film & Video","USD","1250","50",,,
"Music","USD","10000","10295",,,
"Publishing","USD","8000","3436",,,
"Fashion","USD","16000","2654.71",,,
"Photography","USD","100000","25",,,
"Publishing","USD","2000","366",,,
"Publishing","USD","4000","4296",,,
"Film & Video","USD","79800","210",,,
"Comics","USD","500","12577",,,
"Food","USD","3000","100",,,
"Film & Video","USD","4000","1605",,,
"Music","USD","2500","2565",,,
"Food","USD","3000","3326",,,
"Publishing","USD","600","441",,,
"Film & Video","USD","50000","50497",,,
"Film & Video","USD","25000","5186",,,
"Fashion","USD","10000","10339",,,
"Publishing","USD","15000","0",,,
"Music","USD","2300","2916",,,
"Journalism","USD","2500","100",,,
"Art","USD","5000","1996",,,
"Music","USD","5750","5904",,,
"Film & Video","USD","50000","120",,,
"Theater","USD","1000","1036",,,
"Art","USD","1500","255",,,
"Art","USD","400000","30",,,
"Music","USD","3000","4317",,,
"Design","USD","15000","16181.2",,,
"Games","USD","50000","460",,,
"Photography","USD","9000","262",,,
"Publishing","USD","2000","56",,,
"Theater","USD","2000","191",,,
"Art","USD","10000","40",,,
"Music","USD","7000","60",,,
"Film & Video","USD","300","45",,,
"Fashion","USD","15000","7646",,,
"Film & Video","USD","7500","8852.89",,,
"Technology","USD","96485","85017",,,
"Fashion","USD","3000","2",,,
"Publishing","USD","75000","121166.59",,,
"Technology","USD","4500","4566",,,
"Design","USD","1234","530",,,
"Fashion","USD","500","1",,,
"Art","USD","1000","0",,,
"Theater","USD","3348","4010",,,
"Film & Video","USD","9900","10127",,,
"Music","USD","7000","7000",,,
"Film & Video","USD","8000","8585",,,
"Fashion","USD","2500","112",,,
"Games","USD","25000","38269.84",,,
"Comics","USD","20000","199",,,
"Music","USD","1000","1635",,,
"Music","USD","2500","3209.84",,,
"Crafts","USD","1000","30",,,
"Fashion","USD","45000","1774",,,
"Technology","USD","30000","578478.33",,,
"Fashion","USD","3000","3068",,,
"Art","USD","600","1844",,,
"Technology","USD","35000","67408",,,
"Technology","USD","285000","0",,,
"Art","USD","5000","2075",,,
"Games","USD","500","0",,,
"Art","USD","7500","2875",,,
"Film & Video","USD","70000","76048.46",,,
"Music","USD","10000","11300",,,
"Film & Video","USD","1500","20",,,
"Publishing","USD","5000","1",,,
"Art","USD","3000","36",,,
"Art","USD","3000","3500",,,
"Music","USD","5000","5180",,,
"Food","USD","12000","13095",,,
"Games","USD","210000","120725.76",,,
"Publishing","USD","1000","0",,,
"Film & Video","USD","3000","47",,,
"Theater","USD","10000","10195.77",,,
"Games","USD","10001","40",,,
"Design","USD","2500","823",,,
"Technology","USD","200","0",,,
"Design","USD","8000","327.83",,,
"Publishing","USD","5000","0",,,
"Fashion","USD","9000","1916",,,
"Games","USD","9750","21",,,
"Design","USD","10","12",,,
"Music","USD","12000","0",,,
"Dance","USD","5000","5033",,,
"Publishing","USD","10000","1",,,
"Film & Video","USD","78000","13250",,,
"Fashion","USD","75000","28237",,,
"Film & Video","USD","7000","26",,,
"Games","USD","60000","226",,,
"Theater","USD","2600","200",,,
"Publishing","USD","1500","2063.96",,,
"Technology","USD","20000","0",,,
"Music","USD","1500","1655",,,
"Music","USD","5500","5506",,,
"Film & Video","USD","50000","57249",,,
"Publishing","USD","25000","0",,,
"Film & Video","USD","3500","4000",,,
"Theater","USD","48725","1758",,,
"Photography","USD","2500","80",,,
"Food","USD","3000","2",,,
"Food","USD","4200","4410",,,
"Photography","USD","8000","445",,,
"Fashion","USD","700","0",,,
"Film & Video","USD","40000","400",,,
"Film & Video","USD","54000","1488",,,
"Music","USD","2000","0",,,
"Film & Video","USD","7997","130",,,
"Art","USD","15000","30",,,
"Dance","USD","1200","1700",,,
"Games","USD","9999","14075",,,
"Art","USD","1200","1255",,,
"Film & Video","USD","250","340",,,
"Design","USD","4300","532",,,
"Fashion","USD","5500","3",,,
"Music","USD","2015","2015",,,
"Games","USD","20000","181",,,
"Photography","USD","1200","20",,,
"Games","USD","10000","0",,,
"Technology","USD","12000","0",,,
"Film & Video","USD","10000","425",,,
"Publishing","USD","25000","0",,,
"Publishing","USD","5000","0",,,
"Design","USD","10800","10945",,,
"Publishing","USD","2200","0",,,
"Games","USD","20000","3033",,,
"Film & Video","USD","38750","51318",,,
"Music","USD","2000","2079",,,
"Crafts","USD","150","13",,,
"Fashion","USD","10000","1457",,,
"Games","USD","5000","11480",,,
"Crafts","USD","5000","690",,,
"Film & Video","USD","4300","4756",,,
"Fashion","USD","2000","144",,,
"Theater","USD","65000","3867",,,
"Publishing","USD","25000","30585.11",,,
"Film & Video","USD","15000","15940",,,
"Film & Video","USD","5000","5249",,,
"Publishing","USD","6500","390",,,
"Music","USD","6500","0",,,
"Film & Video","USD","15000","24123",,,
"Food","USD","200","0",,,
"Journalism","USD","10000","1586",,,
"Art","USD","300","505",,,
"Art","USD","8000","0",,,
"Music","USD","10000","0",,,
"Music","USD","1000","290",,,
"Theater","USD","1000","1601",,,
"Music","USD","2000","2085",,,
"Design","USD","15000","531581",,,
"Comics","USD","4000","56",,,
"Fashion","USD","700","833",,,
"Publishing","USD","2500","45",,,
"Food","USD","4500","10232",,,
"Film & Video","USD","4500","7241.69",,,
"Design","USD","15900","20690.5",,,
"Games","USD","1500","3000",,,
"Games","USD","75000","3473",,,
"Art","USD","2500","2646",,,
"Film & Video","USD","2000","2368",,,
"Food","USD","4000","4665",,,
"Art","USD","3000","1",,,
"Theater","USD","15000","11880.18",,,
"Film & Video","USD","18000","18007",,,
"Music","USD","1600","15",,,
"Publishing","USD","6000","105",,,
"Music","USD","12000","32667.33",,,
"Music","USD","5000","775",,,
"Film & Video","USD","25000","2662",,,
"Film & Video","USD","6525","7389",,,
"Film & Video","USD","5000","563",,,
"Photography","USD","3000","36",,,
"Technology","USD","91000","261",,,
"Design","USD","2500","0",,,
"Games","USD","20000","140",,,
"Photography","USD","7500","0",,,
"Food","USD","92244","146121.81",,,
"Film & Video","USD","4500","290",,,
"Technology","USD","20000","13020",,,
"Art","USD","1000","1188",,,
"Film & Video","USD","800","0",,,
"Theater","USD","1200","245",,,
"Publishing","USD","1500","0",,,
"Music","USD","15000","0",,,
"Games","USD","7000","1170",,,
"Film & Video","USD","22000","16333.13",,,
"Music","USD","1000","1",,,
"Publishing","USD","5000","6250.88",,,
"Film & Video","USD","4000","4126",,,
"Art","USD","10000","0",,,
"Journalism","USD","12500","126",,,
"Film & Video","USD","25000","25769",,,
"Music","USD","5000","121",,,
"Design","USD","7000","7338",,,
"Crafts","USD","500","0",,,
"Dance","USD","1000","1195",,,
"Film & Video","USD","1500","1575",,,
"Art","USD","7500","48",,,
"Publishing","USD","67000","5166",,,
"Technology","USD","4400","4502",,,
"Games","USD","1000","15806",,,
"Food","USD","3300","5185",,,
"Crafts","USD","5000","0",,,
"Games","USD","2000","660",,,
"Theater","USD","7000","4176",,,
"Design","USD","6200","9748",,,
"Games","USD","600","1651",,,
"Fashion","USD","5000","100",,,
"Dance","USD","6000","6710",,,
"Fashion","USD","6000","59",,,
"Publishing","USD","10000","50653",,,
"Film & Video","USD","7500","7947",,,
"Film & Video","USD","5000","137",,,
"Film & Video","USD","7500","9186",,,
"Publishing","USD","3750","230",,,
"Theater","USD","500","20",,,
"Film & Video","USD","500","0",,,
"Film & Video","USD","10000","766",,,
"Technology","USD","10000","300",,,
"Comics","USD","16500","17332",,,
"Games","USD","3850","9516",,,
"Publishing","USD","4000","579",,,
"Food","USD","545","641",,,
"Food","USD","30000","111",,,
"Technology","USD","16500","2072",,,
"Film & Video","USD","40000","60",,,
"Film & Video","USD","250","0",,,
"Art","USD","1000","1240",,,
"Technology","USD","7500","400",,,
"Music","USD","3500","5511",,,
"Technology","USD","1000","2780",,,
"Photography","USD","30000","10896",,,
"Fashion","USD","10000","0",,,
"Film & Video","USD","20000","20243",,,
"Theater","USD","12500","2475",,,
"Film & Video","USD","10000","10550",,,
"Games","USD","60000","77522.47",,,
"Publishing","USD","6200","6569",,,
"Art","USD","25000","26476.66",,,
"Art","USD","7000","105",,,
"Theater","USD","5000","6025.03",,,
"Publishing","USD","3000","0",,,
"Food","USD","2000","381",,,
"Food","USD","29000","670",,,
"Publishing","USD","1000","251",,,
"Publishing","USD","1000","80",,,
"Publishing","USD","1","0",,,
"Music","USD","2500","3450",,,
"Publishing","USD","1800","41",,,
"Music","USD","5000","0",,,
"Fashion","USD","6000","61",,,
"Technology","USD","3000","435",,,
"Film & Video","USD","16500","251",,,
"Film & Video","USD","500","510",,,
"Crafts","USD","1000","51",,,
"Film & Video","USD","1500","121",,,
"Music","USD","7000","7060",,,
"Games","USD","7500","9878",,,
"Music","USD","8000","8016",,,
"Food","USD","300000","1",,,
"Technology","USD","100","135",,,
"Theater","USD","5000","5000",,,
"Music","USD","2500","2720",,,
"Crafts","USD","20000","25",,,
"Art","USD","30000","4971",,,
"Comics","USD","2000","2443",,,
"Dance","USD","5000","5275",,,
"Publishing","USD","7500","0",,,
"Technology","USD","20000","280",,,
"Technology","USD","500","3801",,,
"Games","USD","485000","0",,,
"Design","USD","18000","122161",,,
"Music","USD","750","750",,,
"Film & Video","USD","30650","30752",,,
"Technology","USD","1500","2313",,,
"Technology","USD","75000","280",,,
"Fashion","USD","150000","0",,,
"Publishing","USD","1200","70",,,
"Dance","USD","4000","4028",,,
"Games","USD","45000","51501.7",,,
"Games","USD","25000","32006.67",,,
"Design","USD","15000","4",,,
"Film & Video","USD","2500","0",,,
"Film & Video","USD","300","425.67",,,
"Fashion","USD","10000","23033",,,
"Music","USD","2500","4305.05",,,
"Design","USD","1000","2001.52",,,
"Design","USD","12500","17391",,,
"Technology","USD","80000","150986",,,
"Music","USD","20000","5796",,,
"Publishing","USD","6500","60",,,
"Technology","USD","100000","1892",,,
"Theater","USD","5000","5360",,,
"Food","USD","30000","3575",,,
"Games","USD","5000","99",,,
"Games","USD","15000","51",,,
"Art","USD","200","20",,,
"Technology","USD","22500","3194",,,
"Film & Video","USD","15000","832.12",,,
"Film & Video","USD","1300","75",,,
"Art","USD","1500","254",,,
"Photography","USD","3500","3784",,,
"Publishing","USD","6000","105",,,
"Dance","USD","11891","12425",,,
"Design","USD","800","340.33",,,
"Design","USD","17500","18131",,,
"Music","USD","5000","0",,,
"Design","USD","120","0",,,
"Publishing","USD","800","101",,,
"Publishing","USD","30000","0",,,
"Film & Video","USD","200000","6095",,,
"Publishing","USD","49000","0",,,
"Publishing","USD","5000","579",,,
"Games","USD","8000","12000.1",,,
"Music","USD","12000","12876",,,
"Games","USD","5000","28399",,,
"Publishing","USD","3200","3",,,
"Music","USD","4100","41",,,
"Music","USD","547","900.11",,,
"Music","USD","15000","0",,,
"Crafts","USD","5000","11459",,,
"Technology","USD","100000","391",,,
"Film & Video","USD","4000","1",,,
"Photography","USD","500","0",,,
"Comics","USD","3800","3847.39",,,
"Photography","USD","2000","0",,,
"Design","USD","100","5",,,
"Publishing","USD","4000","4082",,,
"Design","USD","10000","2023",,,
"Crafts","USD","1000","20",,,
"Publishing","USD","8000","81",,,
"Music","USD","4300","5237.88",,,
"Games","USD","175000","83476.21",,,
"Food","USD","5000","2914",,,
"Food","USD","20000","775",,,
"Technology","USD","2500","136",,,
"Design","USD","45000","50140.01",,,
"Publishing","USD","30000","30230",,,
"Games","USD","65000","10038",,,
"Film & Video","USD","16000","16159",,,
"Design","USD","7500","16397",,,
"Fashion","USD","20000","2860",,,
"Theater","USD","1000","40",,,
"Food","USD","25000","25264",,,
"Fashion","USD","1500","0",,,
"Technology","USD","15000","39473.14",,,
"Design","USD","49550","1573",,,
"Art","USD","650","150",,,
"Music","USD","2800","125",,,
"Publishing","USD","500","725",,,
"Film & Video","USD","3000","0",,,
"Film & Video","USD","500","525",,,
"Film & Video","USD","3000","3000",,,
"Film & Video","USD","5000","9661",,,
"Music","USD","2000","2580",,,
"Music","USD","1500","1601.11",,,
"Technology","USD","50000","1",,,
"Comics","USD","8000","8600",,,
"Games","USD","70000","52",,,
"Design","USD","10000","660",,,
"Technology","USD","25000","65346",,,
"Food","USD","5000","5312",,,
"Theater","USD","2400","2465",,,
"Film & Video","USD","5000","281",,,
"Art","USD","800","1064",,,
"Music","USD","18000","21",,,
"Film & Video","USD","5250","5281",,,
"Publishing","USD","3000","52",,,
"Theater","USD","6000","680",,,
"Film & Video","USD","1300","1700",,,
"Photography","USD","5000","201",,,
"Fashion","USD","18000","700",,,
"Film & Video","USD","100000","1",,,
"Art","USD","72000","50",,,
"Music","USD","30000","50",,,
"Music","USD","1625","0",,,
"Art","USD","21000","21441",,,
"Music","USD","4000","200",,,
"Food","USD","13000","1",,,
"Games","USD","15000","105",,,
"Film & Video","USD","200","1480",,,
"Music","USD","2000","4608",,,
"Music","USD","17000","30586",,,
"Technology","USD","4000","0",,,
"Design","USD","2000","241",,,
"Technology","USD","2500","117",,,
"Film & Video","USD","3000","6523",,,
"Film & Video","USD","6000","220",,,
"Games","USD","2000","14939",,,
"Publishing","USD","12000","14051.11",,,
"Technology","USD","36500","2676",,,
"Publishing","USD","3600","4603",,,
"Food","USD","400","515",,,
"Crafts","USD","16000","0",,,
"Games","USD","30000","42469",,,
"Film & Video","USD","30000","1535",,,
"Music","USD","3000","3197",,,
"Film & Video","USD","1500","215",,,
"Music","USD","27000","680",,,
"Games","USD","17000","35317",,,
"Publishing","USD","2000","0",,,
"Journalism","USD","3000","0",,,
"Music","USD","3300","8581.24",,,
"Games","USD","7500","8585.82",,,
"Art","USD","5700","6060.01",,,
"Music","USD","10000","22",,,
"Technology","USD","50000","0",,,
"Music","USD","1000","450",,,
"Music","USD","1500","1500",,,
"Fashion","USD","18000","25",,,
"Photography","USD","15000","200",,,
"Music","USD","1000","1128",,,
"Art","USD","3500","50",,,
"Fashion","USD","5000","5530",,,
"Film & Video","USD","35000","12562",,,
"Music","USD","55000","1040",,,
"Food","USD","5000","7052.38",,,
"Games","USD","30000","297",,,
"Design","USD","115000","45",,,
"Film & Video","USD","4000","4086.01",,,
"Film & Video","USD","1500","1600",,,
"Art","USD","1500","1500",,,
"Design","USD","2500","1172.75",,,
"Music","USD","25000","27620",,,
"Art","USD","500","836.33",,,
"Art","USD","1200","1225",,,
"Games","USD","10000","261",,,
"Art","USD","1500","792",,,
"Food","USD","15000","245",,,
"Publishing","USD","1500","0",,,
"Film & Video","USD","22000","32942",,,
"Film & Video","USD","7000","0",,,
"Publishing","USD","100","366",,,
"Technology","USD","250000","75",,,
"Food","USD","20000","2",,,
"Dance","USD","2500","1256",,,
"Music","USD","7200","9002",,,
"Food","USD","20000","21388",,,
"Film & Video","USD","2500","150",,,
"Technology","USD","13000","430",,,
"Film & Video","USD","35000","112",,,
"Food","USD","20000","275",,,
"Dance","USD","5000","5291.5",,,
"Fashion","USD","10000","949",,,
"Technology","USD","175000","1",,,
"Games","USD","15000","31748",,,
"Film & Video","USD","3500","100",,,
"Publishing","USD","45000","455",,,
"Design","USD","217000","16669",,,
"Publishing","USD","147900","74071",,,
"Music","USD","1400","0",,,
"Film & Video","USD","4000","4382",,,
"Music","USD","500","70",,,
"Film & Video","USD","5014","0",,,
"Fashion","USD","19000","125",,,
